품목코드,품목명,상품명,재고수량,안전재고
"P0000DBZ000A","족보세트 (보쌈 250g + 족발 300g + 불소스30g + 마늘소스 150g)","[특가] 전문점 갈 필요없는 핵이득 촉촉 족보세트 730g (소스 2종 포함)","502","50"
"P0000DAY000A","버터소고기필라프 250g","[간편조리] 유러피안 볶음밥 3종세트","119","20"
"P0000DAY000B","해산물빠에야 250g","[간편조리] 유러피안 볶음밥 3종세트","166","25"
"P0000DAY000C","크림베이컨리조또+크림소스(무료증정) 330g","[간편조리] 유러피안 볶음밥 3종세트","18","20"
"P0000DAY000D","크림소스 80g","[간편조리] 유러피안 볶음밥 3종세트","0","0"
"P0000DAL000A","서초 장터순대국밥 700g","전문점 갈 필요없는 서초 장터순대국밥 700g","5950","50"
"P0000DAL000B","다진마늘 15g + 다진청양 15g","전문점 갈 필요없는 서초 장터순대국밥 700g","0","0"
"P0000CYB000A","핵이득 서초 얼큰 소고기국밥 700g","[700시리즈] 전문점 갈 필요없는 국 탕 찌개 4종 골라담기","0","0"
"P0000CYB000B","다진마늘 15g + 다진청양 15g","[700시리즈] 전문점 갈 필요없는 국 탕 찌개 4종 골라담기","0","0"
"P0000CYB000C","핵이득 서초 사골 육개장 700g","[700시리즈] 전문점 갈 필요없는 국 탕 찌개 4종 골라담기","0","0"
"P0000CYB000D","서초 사골 소고기미역국 700g","[700시리즈] 전문점 갈 필요없는 국 탕 찌개 4종 골라담기","0","0"
"P0000CYB000E","서초 사골 황태해장국 700g","[700시리즈] 전문점 갈 필요없는 국 탕 찌개 4종 골라담기","0","0"
"P0000CXZ000B","짜장소스 220g","[유통기한임박] 큼직한 건더기가 들어간 짜장소스 220g","0","0"
"P0000CXZ000C","사누끼우동 230g","[유통기한임박] 큼직한 건더기가 들어간 짜장소스 220g","0","0"
"P0000CXZ000D","오뚜기 밥 200g * 3개입","[유통기한임박] 큼직한 건더기가 들어간 짜장소스 220g","0","0"
"P0000CXY000A","","겉바속촉 바삭쫄깃 깐풍기 800g","0","0"
"P0000CXQ000B","기사식당 제육볶음 600g","[한근상회] 전문점 갈 필요없는 핵이득 기사식당 제육볶음 600g","1001","50"
"P0000CXO000B","핵이득 뒷고기 베이컨 150g","어떤 요리에도 찰떡같이 어울리는! 핵이득 뒷고기 베이컨 150g","0","0"
"P0000CXL000D","핵이득 촉촉 족발 300g","[특가] 전문점 갈 필요없는 핵이득 촉촉 족발 300g","1031","50"
"P0000CXL000E","불소스 30g","[특가] 전문점 갈 필요없는 핵이득 촉촉 족발 300g","386","50"
"P0000CXL000F","마늘소스 150g","[특가] 전문점 갈 필요없는 핵이득 촉촉 족발 300g","17","5"
"P0000CXM000E","핵이득 촉촉 보쌈 250g","[특가] 전문점 갈 필요없는 핵이득 촉촉 보쌈 250g","1394","50"
"P0000CXM000F","불소스 30g","[특가] 전문점 갈 필요없는 핵이득 촉촉 보쌈 250g","476","50"
"P0000CXM000G","마늘소스 150g","[특가] 전문점 갈 필요없는 핵이득 촉촉 보쌈 250g","57","5"
"P0000CXK000C","핵이득 연탄불고기 200g","[특가] 전문점 갈 필요없는 핵이득 연탄불고기 200g","0","0"
